STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,EDUCATION,Education level,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,_T,No breakdown by disability,1,Primary education,2021,,223,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,_T,No breakdown by disability,2,Lower secondary education,2021,,821,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,_T,No breakdown by disability,3,Upper secondary education,2021,,2328,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,_T,No breakdown by disability,5-8,Tertiary education,2021,,1908,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,_T,No breakdown by disability,9,Level not stated,2021,,16,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PD,Persons with disability,_T,All education levels,2021,,339,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PD,Persons with disability,0,Early childhood education,2021,,34,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PD,Persons with disability,1,Primary education,2021,,52,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PD,Persons with disability,2,Lower secondary education,2021,,83,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PD,Persons with disability,3,Upper secondary education,2021,,115,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PD,Persons with disability,5-8,Tertiary education,2021,,55,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PWD,Persons without disability,_T,All education levels,2021,,5290,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PWD,Persons without disability,0,Early childhood education,2021,,299,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PWD,Persons without disability,1,Primary education,2021,,171,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PWD,Persons without disability,2,Lower secondary education,2021,,738,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PWD,Persons without disability,3,Upper secondary education,2021,,2213,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PWD,Persons without disability,5-8,Tertiary education,2021,,1853,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,U,Urban,PWD,Persons without disability,9,Level not stated,2021,,16,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,_T,All education levels,2021,,19190,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,0,Early childhood education,2021,,983,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,1,Primary education,2021,,1133,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,2,Lower secondary education,2021,,4563,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,3,Upper secondary education,2021,,8328,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,5-8,Tertiary education,2021,,4166,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,9,Level not stated,2021,,17,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PD,Persons with disability,_T,All education levels,2021,,1394,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PD,Persons with disability,0,Early childhood education,2021,,141,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PD,Persons with disability,1,Primary education,2021,,289,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PD,Persons with disability,2,Lower secondary education,2021,,477,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PD,Persons with disability,3,Upper secondary education,2021,,366,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PD,Persons with disability,5-8,Tertiary education,2021,,121,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PWD,Persons without disability,_T,All education levels,2021,,17796,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PWD,Persons without disability,0,Early childhood education,2021,,842,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PWD,Persons without disability,1,Primary education,2021,,844,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PWD,Persons without disability,2,Lower secondary education,2021,,4086,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PWD,Persons without disability,3,Upper secondary education,2021,,7962,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PWD,Persons without disability,5-8,Tertiary education,2021,,4045,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,_T,All ages,R,Rural,PWD,Persons without disability,9,Level not stated,2021,,17,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,17762,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,810,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,1,Primary education,2021,,328,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,3025,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,8374,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,5202,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,23,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PD,Persons with disability,_T,All education levels,2021,,398,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PD,Persons with disability,0,Early childhood education,2021,,64,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PD,Persons with disability,1,Primary education,2021,,29,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PD,Persons with disability,2,Lower secondary education,2021,,89,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PD,Persons with disability,3,Upper secondary education,2021,,140,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PD,Persons with disability,5-8,Tertiary education,2021,,76,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PWD,Persons without disability,_T,All education levels,2021,,17364,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PWD,Persons without disability,0,Early childhood education,2021,,746,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PWD,Persons without disability,1,Primary education,2021,,299,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PWD,Persons without disability,2,Lower secondary education,2021,,2936,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PWD,Persons without disability,3,Upper secondary education,2021,,8234,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PWD,Persons without disability,5-8,Tertiary education,2021,,5126,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,PWD,Persons without disability,9,Level not stated,2021,,23,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,_T,No breakdown by disability,_T,All education levels,2021,,4044,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,_T,No breakdown by disability,0,Early childhood education,2021,,210,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,_T,No breakdown by disability,1,Primary education,2021,,45,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,_T,No breakdown by disability,2,Lower secondary education,2021,,450,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,_T,No breakdown by disability,3,Upper secondary education,2021,,1733,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,_T,No breakdown by disability,5-8,Tertiary education,2021,,1595,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,_T,No breakdown by disability,9,Level not stated,2021,,11,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PD,Persons with disability,_T,All education levels,2021,,80,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PD,Persons with disability,0,Early childhood education,2021,,15,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PD,Persons with disability,2,Lower secondary education,2021,,9,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PD,Persons with disability,3,Upper secondary education,2021,,31,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PD,Persons with disability,5-8,Tertiary education,2021,,20,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PWD,Persons without disability,_T,All education levels,2021,,3964,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PWD,Persons without disability,0,Early childhood education,2021,,195,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PWD,Persons without disability,1,Primary education,2021,,40,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PWD,Persons without disability,2,Lower secondary education,2021,,441,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PWD,Persons without disability,3,Upper secondary education,2021,,1702,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PWD,Persons without disability,5-8,Tertiary education,2021,,1575,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,U,Urban,PWD,Persons without disability,9,Level not stated,2021,,11,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,_T,All education levels,2021,,13718,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,0,Early childhood education,2021,,600,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,1,Primary education,2021,,283,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,2,Lower secondary education,2021,,2575,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,3,Upper secondary education,2021,,6641,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,5-8,Tertiary education,2021,,3607,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,9,Level not stated,2021,,12,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PD,Persons with disability,_T,All education levels,2021,,318,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PD,Persons with disability,0,Early childhood education,2021,,49,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PD,Persons with disability,1,Primary education,2021,,24,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PD,Persons with disability,2,Lower secondary education,2021,,80,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PD,Persons with disability,3,Upper secondary education,2021,,109,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PD,Persons with disability,5-8,Tertiary education,2021,,56,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PWD,Persons without disability,_T,All education levels,2021,,13400,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PWD,Persons without disability,0,Early childhood education,2021,,551,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PWD,Persons without disability,1,Primary education,2021,,259,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PWD,Persons without disability,2,Lower secondary education,2021,,2495,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PWD,Persons without disability,3,Upper secondary education,2021,,6532,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PWD,Persons without disability,5-8,Tertiary education,2021,,3551,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y25T54,25-54,R,Rural,PWD,Persons without disability,9,Level not stated,2021,,12,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,3404,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,213,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,TO,Tonga,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,1,Primary education,2021,,267,,N,units,,,,,,,,,,
